"","orig.ident","nCount_RNA","nFeature_RNA","STIM","SAMP","PND"
"1#2#46_9","SeuratProject",1478,39,"pbs","AR015","P5"
"1#28#11_9","SeuratProject",1367,36,"pbs","AR015","P5"
"1#28#67_9","SeuratProject",430,26,"pbs","AR015","P5"
"1#31#58_9","SeuratProject",390,33,"pbs","AR015","P5"
"1#34#7_9","SeuratProject",401,30,"pbs","AR015","P5"
"1#47#39_9","SeuratProject",192,24,"pbs","AR015","P5"
"1#69#29_9","SeuratProject",1209,40,"pbs","AR015","P5"
"1#85#45_9","SeuratProject",439,28,"pbs","AR015","P5"
"10#14#7_9","SeuratProject",1016,32,"pbs","AR015","P5"
"10#37#54_9","SeuratProject",2667,43,"pbs","AR015","P5"
"10#56#17_9","SeuratProject",425,31,"pbs","AR015","P5"
"10#62#60_9","SeuratProject",1168,39,"pbs","AR015","P5"
"10#69#13_9","SeuratProject",894,36,"pbs","AR015","P5"
"10#7#15_9","SeuratProject",153,27,"pbs","AR015","P5"
"10#71#6_9","SeuratProject",210,22,"pbs","AR015","P5"
"11#14#67_9","SeuratProject",1144,38,"pbs","AR015","P5"
"11#21#75_9","SeuratProject",465,33,"pbs","AR015","P5"
"11#29#4_9","SeuratProject",259,27,"pbs","AR015","P5"
"11#57#68_9","SeuratProject",242,29,"pbs","AR015","P5"
"11#68#3_9","SeuratProject",477,33,"pbs","AR015","P5"
"11#78#52_9","SeuratProject",480,33,"pbs","AR015","P5"
"12#41#8_9","SeuratProject",158,22,"pbs","AR015","P5"
"12#57#35_9","SeuratProject",250,31,"pbs","AR015","P5"
"12#65#75_9","SeuratProject",1295,39,"pbs","AR015","P5"
"12#81#14_9","SeuratProject",397,32,"pbs","AR015","P5"
"12#9#67_9","SeuratProject",1031,38,"pbs","AR015","P5"
"13#64#68_9","SeuratProject",2248,40,"pbs","AR015","P5"
"14#6#71_9","SeuratProject",2177,40,"pbs","AR015","P5"
"14#63#71_9","SeuratProject",707,37,"pbs","AR015","P5"
"14#68#61_9","SeuratProject",106,19,"pbs","AR015","P5"
"14#69#10_9","SeuratProject",229,25,"pbs","AR015","P5"
"15#10#77_9","SeuratProject",215,26,"pbs","AR015","P5"
"15#46#9_9","SeuratProject",191,28,"pbs","AR015","P5"
"15#6#20_9","SeuratProject",2281,39,"pbs","AR015","P5"
"15#72#28_9","SeuratProject",5575,45,"pbs","AR015","P5"
"15#77#78_9","SeuratProject",2053,39,"pbs","AR015","P5"
"15#84#2_9","SeuratProject",1431,35,"pbs","AR015","P5"
"15#84#95_9","SeuratProject",166,20,"pbs","AR015","P5"
"16#20#47_9","SeuratProject",310,28,"pbs","AR015","P5"
"16#53#13_9","SeuratProject",712,33,"pbs","AR015","P5"
"16#68#57_9","SeuratProject",113,18,"pbs","AR015","P5"
"16#84#35_9","SeuratProject",421,33,"pbs","AR015","P5"
"17#12#15_9","SeuratProject",785,33,"pbs","AR015","P5"
"17#13#68_9","SeuratProject",373,27,"pbs","AR015","P5"
"17#21#71_9","SeuratProject",569,29,"pbs","AR015","P5"
"17#36#41_9","SeuratProject",458,30,"pbs","AR015","P5"
"17#40#66_9","SeuratProject",280,29,"pbs","AR015","P5"
"17#42#58_9","SeuratProject",707,37,"pbs","AR015","P5"
"17#44#53_9","SeuratProject",436,31,"pbs","AR015","P5"
"17#46#6_9","SeuratProject",888,35,"pbs","AR015","P5"
"17#51#20_9","SeuratProject",1240,37,"pbs","AR015","P5"
"17#68#19_9","SeuratProject",345,33,"pbs","AR015","P5"
"17#74#16_9","SeuratProject",493,31,"pbs","AR015","P5"
"18#2#56_9","SeuratProject",480,33,"pbs","AR015","P5"
"18#24#24_9","SeuratProject",182,24,"pbs","AR015","P5"
"18#43#43_9","SeuratProject",896,37,"pbs","AR015","P5"
"18#55#76_9","SeuratProject",1378,37,"pbs","AR015","P5"
"18#63#45_9","SeuratProject",276,32,"pbs","AR015","P5"
"18#64#47_9","SeuratProject",162,27,"pbs","AR015","P5"
"18#93#65_9","SeuratProject",690,38,"pbs","AR015","P5"
"19#22#60_9","SeuratProject",165,23,"pbs","AR015","P5"
"19#23#79_9","SeuratProject",522,35,"pbs","AR015","P5"
"19#29#12_9","SeuratProject",1308,36,"pbs","AR015","P5"
"19#38#7_9","SeuratProject",332,33,"pbs","AR015","P5"
"19#43#37_9","SeuratProject",569,33,"pbs","AR015","P5"
"19#46#64_9","SeuratProject",853,34,"pbs","AR015","P5"
"19#6#88_9","SeuratProject",187,28,"pbs","AR015","P5"
"2#20#83_9","SeuratProject",335,30,"pbs","AR015","P5"
"2#21#62_9","SeuratProject",591,33,"pbs","AR015","P5"
"2#24#63_9","SeuratProject",379,32,"pbs","AR015","P5"
"2#37#63_9","SeuratProject",129,20,"pbs","AR015","P5"
"2#52#89_9","SeuratProject",340,32,"pbs","AR015","P5"
"2#62#79_9","SeuratProject",380,29,"pbs","AR015","P5"
"2#64#23_9","SeuratProject",144,23,"pbs","AR015","P5"
"20#2#1_9","SeuratProject",214,24,"pbs","AR015","P5"
"20#31#6_9","SeuratProject",523,33,"pbs","AR015","P5"
"20#74#36_9","SeuratProject",357,31,"pbs","AR015","P5"
"20#95#2_9","SeuratProject",295,28,"pbs","AR015","P5"
"21#1#73_9","SeuratProject",397,33,"pbs","AR015","P5"
"21#35#23_9","SeuratProject",104,22,"pbs","AR015","P5"
"21#5#35_9","SeuratProject",247,28,"pbs","AR015","P5"
"21#76#33_9","SeuratProject",1109,37,"pbs","AR015","P5"
"21#85#31_9","SeuratProject",396,31,"pbs","AR015","P5"
"21#9#77_9","SeuratProject",837,38,"pbs","AR015","P5"
"21#90#69_9","SeuratProject",1316,37,"pbs","AR015","P5"
"22#20#15_9","SeuratProject",756,33,"pbs","AR015","P5"
"22#30#45_9","SeuratProject",697,37,"pbs","AR015","P5"
"22#53#14_9","SeuratProject",292,31,"pbs","AR015","P5"
"22#57#21_9","SeuratProject",381,33,"pbs","AR015","P5"
"22#66#6_9","SeuratProject",748,35,"pbs","AR015","P5"
"22#91#76_9","SeuratProject",137,23,"pbs","AR015","P5"
"22#93#71_9","SeuratProject",789,33,"pbs","AR015","P5"
"23#29#47_9","SeuratProject",475,31,"pbs","AR015","P5"
"23#4#43_9","SeuratProject",282,28,"pbs","AR015","P5"
"23#50#63_9","SeuratProject",934,33,"pbs","AR015","P5"
"23#7#5_9","SeuratProject",955,35,"pbs","AR015","P5"
"23#70#69_9","SeuratProject",227,24,"pbs","AR015","P5"
"24#31#37_9","SeuratProject",835,37,"pbs","AR015","P5"
"24#33#33_9","SeuratProject",908,36,"pbs","AR015","P5"
"24#4#79_9","SeuratProject",271,31,"pbs","AR015","P5"
"24#49#49_9","SeuratProject",1137,34,"pbs","AR015","P5"
"24#56#63_9","SeuratProject",174,23,"pbs","AR015","P5"
"24#58#83_9","SeuratProject",408,30,"pbs","AR015","P5"
"24#64#49_9","SeuratProject",496,29,"pbs","AR015","P5"
"24#75#30_9","SeuratProject",443,30,"pbs","AR015","P5"
"24#79#46_9","SeuratProject",199,25,"pbs","AR015","P5"
"24#92#44_9","SeuratProject",130,21,"pbs","AR015","P5"
"24#93#76_9","SeuratProject",86,16,"pbs","AR015","P5"
"25#16#88_9","SeuratProject",685,31,"pbs","AR015","P5"
"25#23#50_9","SeuratProject",504,29,"pbs","AR015","P5"
"25#23#9_9","SeuratProject",235,31,"pbs","AR015","P5"
"25#31#38_9","SeuratProject",388,32,"pbs","AR015","P5"
"25#42#42_9","SeuratProject",777,32,"pbs","AR015","P5"
"25#58#33_9","SeuratProject",1319,37,"pbs","AR015","P5"
"25#75#74_9","SeuratProject",234,26,"pbs","AR015","P5"
"25#77#20_9","SeuratProject",218,25,"pbs","AR015","P5"
"25#79#45_9","SeuratProject",409,23,"pbs","AR015","P5"
"25#85#60_9","SeuratProject",2598,39,"pbs","AR015","P5"
"25#88#19_9","SeuratProject",270,23,"pbs","AR015","P5"
"26#4#31_9","SeuratProject",1296,37,"pbs","AR015","P5"
"26#51#87_9","SeuratProject",869,39,"pbs","AR015","P5"
"26#58#10_9","SeuratProject",169,23,"pbs","AR015","P5"
"26#6#49_9","SeuratProject",113,23,"pbs","AR015","P5"
"26#60#71_9","SeuratProject",467,33,"pbs","AR015","P5"
"26#69#12_9","SeuratProject",188,22,"pbs","AR015","P5"
"26#81#21_9","SeuratProject",407,31,"pbs","AR015","P5"
"26#82#83_9","SeuratProject",1237,39,"pbs","AR015","P5"
"26#85#77_9","SeuratProject",706,30,"pbs","AR015","P5"
"26#86#47_9","SeuratProject",231,29,"pbs","AR015","P5"
"27#13#79_9","SeuratProject",1341,31,"pbs","AR015","P5"
"27#30#17_9","SeuratProject",188,26,"pbs","AR015","P5"
"27#61#54_9","SeuratProject",235,26,"pbs","AR015","P5"
"28#10#49_9","SeuratProject",301,27,"pbs","AR015","P5"
"28#33#15_9","SeuratProject",876,33,"pbs","AR015","P5"
"28#51#80_9","SeuratProject",3003,44,"pbs","AR015","P5"
"28#59#32_9","SeuratProject",918,36,"pbs","AR015","P5"
"28#6#66_9","SeuratProject",393,31,"pbs","AR015","P5"
"28#60#43_9","SeuratProject",198,26,"pbs","AR015","P5"
"28#77#26_9","SeuratProject",133,21,"pbs","AR015","P5"
"28#80#21_9","SeuratProject",169,28,"pbs","AR015","P5"
"28#80#55_9","SeuratProject",1368,35,"pbs","AR015","P5"
"29#11#16_9","SeuratProject",691,36,"pbs","AR015","P5"
"29#16#4_9","SeuratProject",157,18,"pbs","AR015","P5"
"29#24#79_9","SeuratProject",1067,37,"pbs","AR015","P5"
"29#25#22_9","SeuratProject",190,26,"pbs","AR015","P5"
"29#36#29_9","SeuratProject",288,37,"pbs","AR015","P5"
"29#5#25_9","SeuratProject",300,27,"pbs","AR015","P5"
"29#5#69_9","SeuratProject",944,35,"pbs","AR015","P5"
"29#56#80_9","SeuratProject",245,30,"pbs","AR015","P5"
"29#62#50_9","SeuratProject",299,27,"pbs","AR015","P5"
"29#80#62_9","SeuratProject",664,34,"pbs","AR015","P5"
"3#18#16_9","SeuratProject",381,30,"pbs","AR015","P5"
"3#24#37_9","SeuratProject",1654,38,"pbs","AR015","P5"
"3#29#20_9","SeuratProject",453,31,"pbs","AR015","P5"
"3#38#80_9","SeuratProject",730,34,"pbs","AR015","P5"
"3#43#29_9","SeuratProject",314,32,"pbs","AR015","P5"
"3#50#49_9","SeuratProject",104,21,"pbs","AR015","P5"
"3#56#1_9","SeuratProject",273,33,"pbs","AR015","P5"
"3#58#83_9","SeuratProject",1858,38,"pbs","AR015","P5"
"30#12#17_9","SeuratProject",208,24,"pbs","AR015","P5"
"30#21#47_9","SeuratProject",420,28,"pbs","AR015","P5"
"30#23#69_9","SeuratProject",177,21,"pbs","AR015","P5"
"30#3#66_9","SeuratProject",216,26,"pbs","AR015","P5"
"30#32#64_9","SeuratProject",272,33,"pbs","AR015","P5"
"30#57#23_9","SeuratProject",1458,36,"pbs","AR015","P5"
"30#63#82_9","SeuratProject",394,33,"pbs","AR015","P5"
"30#67#46_9","SeuratProject",357,30,"pbs","AR015","P5"
"30#80#6_9","SeuratProject",1175,33,"pbs","AR015","P5"
"30#82#22_9","SeuratProject",144,25,"pbs","AR015","P5"
"30#91#37_9","SeuratProject",278,23,"pbs","AR015","P5"
"30#94#70_9","SeuratProject",357,32,"pbs","AR015","P5"
"31#23#4_9","SeuratProject",182,24,"pbs","AR015","P5"
"31#32#44_9","SeuratProject",424,32,"pbs","AR015","P5"
"31#4#60_9","SeuratProject",667,38,"pbs","AR015","P5"
"31#72#46_9","SeuratProject",259,31,"pbs","AR015","P5"
"32#21#52_9","SeuratProject",199,18,"pbs","AR015","P5"
"32#3#40_9","SeuratProject",566,36,"pbs","AR015","P5"
"32#58#94_9","SeuratProject",517,31,"pbs","AR015","P5"
"32#59#14_9","SeuratProject",617,35,"pbs","AR015","P5"
"32#60#25_9","SeuratProject",1367,38,"pbs","AR015","P5"
"32#60#27_9","SeuratProject",423,30,"pbs","AR015","P5"
"32#68#51_9","SeuratProject",904,36,"pbs","AR015","P5"
"32#68#9_9","SeuratProject",972,31,"pbs","AR015","P5"
"32#8#58_9","SeuratProject",228,26,"pbs","AR015","P5"
"33#39#63_9","SeuratProject",566,32,"pbs","AR015","P5"
"33#41#95_9","SeuratProject",286,26,"pbs","AR015","P5"
"33#52#42_9","SeuratProject",320,30,"pbs","AR015","P5"
"33#62#58_9","SeuratProject",771,37,"pbs","AR015","P5"
"33#65#87_9","SeuratProject",1203,35,"pbs","AR015","P5"
"33#73#71_9","SeuratProject",829,35,"pbs","AR015","P5"
"33#75#60_9","SeuratProject",1561,38,"pbs","AR015","P5"
"33#80#12_9","SeuratProject",572,35,"pbs","AR015","P5"
"33#85#31_9","SeuratProject",145,20,"pbs","AR015","P5"
"34#16#52_9","SeuratProject",709,36,"pbs","AR015","P5"
"34#18#13_9","SeuratProject",1305,39,"pbs","AR015","P5"
"34#18#61_9","SeuratProject",323,27,"pbs","AR015","P5"
"34#28#13_9","SeuratProject",110,20,"pbs","AR015","P5"
"34#34#62_9","SeuratProject",2196,41,"pbs","AR015","P5"
"34#43#12_9","SeuratProject",306,32,"pbs","AR015","P5"
"34#53#11_9","SeuratProject",200,25,"pbs","AR015","P5"
"34#54#61_9","SeuratProject",285,28,"pbs","AR015","P5"
"34#62#79_9","SeuratProject",225,30,"pbs","AR015","P5"
"34#71#71_9","SeuratProject",416,34,"pbs","AR015","P5"
"34#72#74_9","SeuratProject",330,28,"pbs","AR015","P5"
"35#12#29_9","SeuratProject",627,32,"pbs","AR015","P5"
"35#17#61_9","SeuratProject",129,21,"pbs","AR015","P5"
"35#2#14_9","SeuratProject",1149,35,"pbs","AR015","P5"
"35#25#13_9","SeuratProject",228,29,"pbs","AR015","P5"
"35#27#9_9","SeuratProject",1118,39,"pbs","AR015","P5"
"35#39#1_9","SeuratProject",170,21,"pbs","AR015","P5"
"35#51#78_9","SeuratProject",715,33,"pbs","AR015","P5"
"35#74#63_9","SeuratProject",269,28,"pbs","AR015","P5"
"35#94#63_9","SeuratProject",237,29,"pbs","AR015","P5"
"36#18#10_9","SeuratProject",435,28,"pbs","AR015","P5"
"36#27#33_9","SeuratProject",248,25,"pbs","AR015","P5"
"36#36#4_9","SeuratProject",136,22,"pbs","AR015","P5"
"36#46#13_9","SeuratProject",247,29,"pbs","AR015","P5"
"36#49#86_9","SeuratProject",185,25,"pbs","AR015","P5"
"36#68#18_9","SeuratProject",713,32,"pbs","AR015","P5"
"36#7#22_9","SeuratProject",173,21,"pbs","AR015","P5"
"36#70#73_9","SeuratProject",269,25,"pbs","AR015","P5"
"37#11#79_9","SeuratProject",764,36,"pbs","AR015","P5"
"37#12#19_9","SeuratProject",271,27,"pbs","AR015","P5"
"37#21#25_9","SeuratProject",106,22,"pbs","AR015","P5"
"37#39#7_9","SeuratProject",365,22,"pbs","AR015","P5"
"37#48#81_9","SeuratProject",457,32,"pbs","AR015","P5"
"37#51#25_9","SeuratProject",993,31,"pbs","AR015","P5"
"37#65#8_9","SeuratProject",223,25,"pbs","AR015","P5"
"37#66#65_9","SeuratProject",298,26,"pbs","AR015","P5"
"37#9#24_9","SeuratProject",236,25,"pbs","AR015","P5"
"38#17#59_9","SeuratProject",560,30,"pbs","AR015","P5"
"38#19#25_9","SeuratProject",230,28,"pbs","AR015","P5"
"38#38#72_9","SeuratProject",169,27,"pbs","AR015","P5"
"38#41#83_9","SeuratProject",155,26,"pbs","AR015","P5"
"38#64#15_9","SeuratProject",220,26,"pbs","AR015","P5"
"38#69#6_9","SeuratProject",544,35,"pbs","AR015","P5"
"38#76#66_9","SeuratProject",229,27,"pbs","AR015","P5"
"38#86#51_9","SeuratProject",441,31,"pbs","AR015","P5"
"38#95#20_9","SeuratProject",609,32,"pbs","AR015","P5"
"39#16#50_9","SeuratProject",2040,38,"pbs","AR015","P5"
"39#30#28_9","SeuratProject",224,29,"pbs","AR015","P5"
"39#45#82_9","SeuratProject",1388,35,"pbs","AR015","P5"
"39#47#60_9","SeuratProject",1558,36,"pbs","AR015","P5"
"39#48#80_9","SeuratProject",455,34,"pbs","AR015","P5"
"39#51#10_9","SeuratProject",132,23,"pbs","AR015","P5"
"39#63#23_9","SeuratProject",256,22,"pbs","AR015","P5"
"39#67#62_9","SeuratProject",923,36,"pbs","AR015","P5"
"39#69#79_9","SeuratProject",639,35,"pbs","AR015","P5"
"4#15#73_9","SeuratProject",451,34,"pbs","AR015","P5"
"4#3#51_9","SeuratProject",731,34,"pbs","AR015","P5"
"4#30#38_9","SeuratProject",1839,38,"pbs","AR015","P5"
"4#30#92_9","SeuratProject",254,27,"pbs","AR015","P5"
"4#37#93_9","SeuratProject",366,25,"pbs","AR015","P5"
"4#39#8_9","SeuratProject",194,25,"pbs","AR015","P5"
"4#47#20_9","SeuratProject",323,32,"pbs","AR015","P5"
"4#53#53_9","SeuratProject",216,26,"pbs","AR015","P5"
"4#62#84_9","SeuratProject",1201,36,"pbs","AR015","P5"
"4#70#14_9","SeuratProject",208,28,"pbs","AR015","P5"
"4#70#56_9","SeuratProject",1279,35,"pbs","AR015","P5"
"4#72#70_9","SeuratProject",929,38,"pbs","AR015","P5"
"4#77#28_9","SeuratProject",1013,36,"pbs","AR015","P5"
"4#89#76_9","SeuratProject",745,32,"pbs","AR015","P5"
"4#9#58_9","SeuratProject",453,29,"pbs","AR015","P5"
"4#95#6_9","SeuratProject",454,36,"pbs","AR015","P5"
"40#2#24_9","SeuratProject",1728,39,"pbs","AR015","P5"
"40#25#84_9","SeuratProject",906,33,"pbs","AR015","P5"
"40#35#40_9","SeuratProject",956,33,"pbs","AR015","P5"
"40#58#92_9","SeuratProject",202,26,"pbs","AR015","P5"
"40#74#38_9","SeuratProject",336,31,"pbs","AR015","P5"
"40#79#8_9","SeuratProject",1728,37,"pbs","AR015","P5"
"40#9#81_9","SeuratProject",882,34,"pbs","AR015","P5"
"41#17#65_9","SeuratProject",230,26,"pbs","AR015","P5"
"41#30#47_9","SeuratProject",683,35,"pbs","AR015","P5"
"41#34#36_9","SeuratProject",427,30,"pbs","AR015","P5"
"41#45#51_9","SeuratProject",1040,34,"pbs","AR015","P5"
"41#69#80_9","SeuratProject",322,33,"pbs","AR015","P5"
"41#71#9_9","SeuratProject",1195,37,"pbs","AR015","P5"
"41#86#77_9","SeuratProject",460,28,"pbs","AR015","P5"
"42#10#57_9","SeuratProject",2400,41,"pbs","AR015","P5"
"42#16#13_9","SeuratProject",245,31,"pbs","AR015","P5"
"42#4#50_9","SeuratProject",163,27,"pbs","AR015","P5"
"42#54#72_9","SeuratProject",323,29,"pbs","AR015","P5"
"42#56#15_9","SeuratProject",393,29,"pbs","AR015","P5"
"42#78#22_9","SeuratProject",2159,41,"pbs","AR015","P5"
"43#18#73_9","SeuratProject",601,31,"pbs","AR015","P5"
"43#2#34_9","SeuratProject",265,27,"pbs","AR015","P5"
"43#26#29_9","SeuratProject",327,31,"pbs","AR015","P5"
"43#44#26_9","SeuratProject",366,32,"pbs","AR015","P5"
"43#54#93_9","SeuratProject",506,31,"pbs","AR015","P5"
"43#60#10_9","SeuratProject",569,26,"pbs","AR015","P5"
"43#62#69_9","SeuratProject",642,30,"pbs","AR015","P5"
"43#70#53_9","SeuratProject",555,34,"pbs","AR015","P5"
"43#78#45_9","SeuratProject",422,29,"pbs","AR015","P5"
"43#84#20_9","SeuratProject",991,35,"pbs","AR015","P5"
"43#86#64_9","SeuratProject",135,22,"pbs","AR015","P5"
"44#19#3_9","SeuratProject",1241,37,"pbs","AR015","P5"
"44#22#9_9","SeuratProject",888,35,"pbs","AR015","P5"
"44#28#6_9","SeuratProject",460,33,"pbs","AR015","P5"
"44#35#4_9","SeuratProject",455,32,"pbs","AR015","P5"
"44#87#69_9","SeuratProject",1169,35,"pbs","AR015","P5"
"45#11#54_9","SeuratProject",265,28,"pbs","AR015","P5"
"45#25#65_9","SeuratProject",470,32,"pbs","AR015","P5"
"45#30#83_9","SeuratProject",710,34,"pbs","AR015","P5"
"45#4#79_9","SeuratProject",232,26,"pbs","AR015","P5"
"45#42#84_9","SeuratProject",2036,38,"pbs","AR015","P5"
"45#5#75_9","SeuratProject",272,23,"pbs","AR015","P5"
"45#64#4_9","SeuratProject",1143,35,"pbs","AR015","P5"
"46#28#69_9","SeuratProject",288,28,"pbs","AR015","P5"
"46#32#4_9","SeuratProject",367,31,"pbs","AR015","P5"
"46#35#32_9","SeuratProject",1229,36,"pbs","AR015","P5"
"46#36#67_9","SeuratProject",468,36,"pbs","AR015","P5"
"46#83#19_9","SeuratProject",339,32,"pbs","AR015","P5"
"47#11#37_9","SeuratProject",750,36,"pbs","AR015","P5"
"47#13#16_9","SeuratProject",125,21,"pbs","AR015","P5"
"47#23#11_9","SeuratProject",714,34,"pbs","AR015","P5"
"47#34#8_9","SeuratProject",177,30,"pbs","AR015","P5"
"47#35#51_9","SeuratProject",804,35,"pbs","AR015","P5"
"47#66#64_9","SeuratProject",1848,40,"pbs","AR015","P5"
"47#68#94_9","SeuratProject",211,29,"pbs","AR015","P5"
"48#22#60_9","SeuratProject",2024,39,"pbs","AR015","P5"
"48#29#12_9","SeuratProject",997,38,"pbs","AR015","P5"
"48#37#26_9","SeuratProject",351,25,"pbs","AR015","P5"
"48#49#73_9","SeuratProject",141,23,"pbs","AR015","P5"
"48#55#54_9","SeuratProject",460,34,"pbs","AR015","P5"
"48#61#82_9","SeuratProject",115,17,"pbs","AR015","P5"
"48#73#1_9","SeuratProject",326,26,"pbs","AR015","P5"
"48#74#23_9","SeuratProject",171,28,"pbs","AR015","P5"
"48#76#16_9","SeuratProject",939,30,"pbs","AR015","P5"
"48#81#5_9","SeuratProject",689,35,"pbs","AR015","P5"
"48#92#38_9","SeuratProject",412,32,"pbs","AR015","P5"
"49#1#19_9","SeuratProject",745,33,"pbs","AR015","P5"
"49#19#38_9","SeuratProject",404,31,"pbs","AR015","P5"
"49#19#45_9","SeuratProject",119,20,"pbs","AR015","P5"
"49#23#61_9","SeuratProject",706,37,"pbs","AR015","P5"
"49#5#2_9","SeuratProject",720,37,"pbs","AR015","P5"
"49#53#48_9","SeuratProject",275,29,"pbs","AR015","P5"
"49#56#69_9","SeuratProject",1288,35,"pbs","AR015","P5"
"49#59#24_9","SeuratProject",468,29,"pbs","AR015","P5"
"49#63#51_9","SeuratProject",545,30,"pbs","AR015","P5"
"49#80#88_9","SeuratProject",592,32,"pbs","AR015","P5"
"49#91#71_9","SeuratProject",825,38,"pbs","AR015","P5"
"5#11#74_9","SeuratProject",272,30,"pbs","AR015","P5"
"5#23#17_9","SeuratProject",299,28,"pbs","AR015","P5"
"5#25#55_9","SeuratProject",873,35,"pbs","AR015","P5"
"5#31#11_9","SeuratProject",328,29,"pbs","AR015","P5"
"5#31#32_9","SeuratProject",82,13,"pbs","AR015","P5"
"5#51#85_9","SeuratProject",289,32,"pbs","AR015","P5"
"5#52#14_9","SeuratProject",493,31,"pbs","AR015","P5"
"5#60#79_9","SeuratProject",258,25,"pbs","AR015","P5"
"5#62#17_9","SeuratProject",386,33,"pbs","AR015","P5"
"5#64#15_9","SeuratProject",1739,40,"pbs","AR015","P5"
"5#7#18_9","SeuratProject",639,38,"pbs","AR015","P5"
"5#85#43_9","SeuratProject",591,33,"pbs","AR015","P5"
"50#21#6_9","SeuratProject",1707,39,"pbs","AR015","P5"
"50#25#57_9","SeuratProject",128,22,"pbs","AR015","P5"
"50#32#3_9","SeuratProject",510,32,"pbs","AR015","P5"
"50#41#23_9","SeuratProject",614,34,"pbs","AR015","P5"
"50#76#16_9","SeuratProject",824,33,"pbs","AR015","P5"
"50#90#18_9","SeuratProject",628,37,"pbs","AR015","P5"
"51#13#21_9","SeuratProject",1492,38,"pbs","AR015","P5"
"51#14#20_9","SeuratProject",629,31,"pbs","AR015","P5"
"51#18#16_9","SeuratProject",216,22,"pbs","AR015","P5"
"51#19#87_9","SeuratProject",487,30,"pbs","AR015","P5"
"51#2#43_9","SeuratProject",207,23,"pbs","AR015","P5"
"51#31#80_9","SeuratProject",1055,34,"pbs","AR015","P5"
"51#33#61_9","SeuratProject",409,30,"pbs","AR015","P5"
"51#36#34_9","SeuratProject",1504,36,"pbs","AR015","P5"
"51#38#46_9","SeuratProject",802,35,"pbs","AR015","P5"
"51#57#22_9","SeuratProject",250,29,"pbs","AR015","P5"
"51#69#68_9","SeuratProject",476,33,"pbs","AR015","P5"
"51#87#31_9","SeuratProject",1334,36,"pbs","AR015","P5"
"52#1#6_9","SeuratProject",1035,38,"pbs","AR015","P5"
"52#13#95_9","SeuratProject",948,32,"pbs","AR015","P5"
"52#31#25_9","SeuratProject",186,22,"pbs","AR015","P5"
"52#46#39_9","SeuratProject",171,27,"pbs","AR015","P5"
"52#55#53_9","SeuratProject",224,26,"pbs","AR015","P5"
"52#6#46_9","SeuratProject",89,21,"pbs","AR015","P5"
"52#73#42_9","SeuratProject",1458,38,"pbs","AR015","P5"
"52#77#40_9","SeuratProject",190,23,"pbs","AR015","P5"
"52#81#37_9","SeuratProject",311,35,"pbs","AR015","P5"
"52#81#76_9","SeuratProject",279,28,"pbs","AR015","P5"
"53#14#20_9","SeuratProject",316,23,"pbs","AR015","P5"
"53#18#10_9","SeuratProject",300,27,"pbs","AR015","P5"
"53#85#30_9","SeuratProject",1013,34,"pbs","AR015","P5"
"53#88#55_9","SeuratProject",421,32,"pbs","AR015","P5"
"53#89#53_9","SeuratProject",1049,37,"pbs","AR015","P5"
"54#12#63_9","SeuratProject",258,28,"pbs","AR015","P5"
"54#22#21_9","SeuratProject",1675,36,"pbs","AR015","P5"
"54#32#24_9","SeuratProject",269,30,"pbs","AR015","P5"
"54#41#53_9","SeuratProject",277,29,"pbs","AR015","P5"
"54#53#38_9","SeuratProject",180,27,"pbs","AR015","P5"
"54#62#55_9","SeuratProject",1605,39,"pbs","AR015","P5"
"54#76#26_9","SeuratProject",1375,36,"pbs","AR015","P5"
"54#9#87_9","SeuratProject",283,33,"pbs","AR015","P5"
"55#24#89_9","SeuratProject",734,38,"pbs","AR015","P5"
"55#28#85_9","SeuratProject",660,37,"pbs","AR015","P5"
"55#33#89_9","SeuratProject",460,33,"pbs","AR015","P5"
"55#35#70_9","SeuratProject",273,32,"pbs","AR015","P5"
"55#45#80_9","SeuratProject",291,26,"pbs","AR015","P5"
"55#54#40_9","SeuratProject",1111,38,"pbs","AR015","P5"
"55#73#12_9","SeuratProject",206,23,"pbs","AR015","P5"
"56#10#30_9","SeuratProject",559,33,"pbs","AR015","P5"
"56#2#12_9","SeuratProject",816,36,"pbs","AR015","P5"
"56#51#28_9","SeuratProject",520,33,"pbs","AR015","P5"
"56#7#40_9","SeuratProject",625,36,"pbs","AR015","P5"
"56#72#59_9","SeuratProject",160,18,"pbs","AR015","P5"
"56#83#8_9","SeuratProject",1523,37,"pbs","AR015","P5"
"57#16#63_9","SeuratProject",736,31,"pbs","AR015","P5"
"57#19#40_9","SeuratProject",405,29,"pbs","AR015","P5"
"57#33#60_9","SeuratProject",1690,37,"pbs","AR015","P5"
"57#43#32_9","SeuratProject",196,21,"pbs","AR015","P5"
"57#82#23_9","SeuratProject",797,36,"pbs","AR015","P5"
"58#33#66_9","SeuratProject",1026,30,"pbs","AR015","P5"
"58#39#93_9","SeuratProject",147,25,"pbs","AR015","P5"
"58#46#17_9","SeuratProject",976,35,"pbs","AR015","P5"
"58#5#10_9","SeuratProject",98,20,"pbs","AR015","P5"
"58#66#23_9","SeuratProject",330,28,"pbs","AR015","P5"
"58#72#59_9","SeuratProject",240,29,"pbs","AR015","P5"
"58#72#76_9","SeuratProject",2035,37,"pbs","AR015","P5"
"59#10#56_9","SeuratProject",331,29,"pbs","AR015","P5"
