"","orig.ident","nCount_RNA","nFeature_RNA","STIM","SAMP","PND"
"38#27#73_1","SeuratProject",612,35,"pbs","AR019","P5"
"38#32#39_1","SeuratProject",1784,34,"pbs","AR019","P5"
"38#62#56_1","SeuratProject",415,27,"pbs","AR019","P5"
"38#63#1_1","SeuratProject",389,26,"pbs","AR019","P5"
"38#66#42_1","SeuratProject",384,25,"pbs","AR019","P5"
"38#7#73_1","SeuratProject",972,32,"pbs","AR019","P5"
"38#72#23_1","SeuratProject",948,27,"pbs","AR019","P5"
"38#78#88_1","SeuratProject",119,25,"pbs","AR019","P5"
"38#81#82_1","SeuratProject",378,18,"pbs","AR019","P5"
"39#11#7_1","SeuratProject",116,22,"pbs","AR019","P5"
"39#21#46_1","SeuratProject",706,26,"pbs","AR019","P5"
"39#27#73_1","SeuratProject",85,13,"pbs","AR019","P5"
"39#4#67_1","SeuratProject",118,15,"pbs","AR019","P5"
"39#53#44_1","SeuratProject",280,16,"pbs","AR019","P5"
"39#6#47_1","SeuratProject",1104,31,"pbs","AR019","P5"
"39#65#92_1","SeuratProject",441,29,"pbs","AR019","P5"
"39#76#45_1","SeuratProject",2152,35,"pbs","AR019","P5"
"39#76#6_1","SeuratProject",120,19,"pbs","AR019","P5"
"39#77#69_1","SeuratProject",74,22,"pbs","AR019","P5"
"39#80#63_1","SeuratProject",410,21,"pbs","AR019","P5"
"4#2#92_1","SeuratProject",64,9,"pbs","AR019","P5"
"4#23#19_1","SeuratProject",545,24,"pbs","AR019","P5"
"4#28#22_1","SeuratProject",283,21,"pbs","AR019","P5"
"4#34#15_1","SeuratProject",1468,35,"pbs","AR019","P5"
"4#42#39_1","SeuratProject",732,25,"pbs","AR019","P5"
"4#50#51_1","SeuratProject",215,25,"pbs","AR019","P5"
"4#53#37_1","SeuratProject",260,26,"pbs","AR019","P5"
"4#73#10_1","SeuratProject",506,23,"pbs","AR019","P5"
"4#80#16_1","SeuratProject",839,30,"pbs","AR019","P5"
"4#94#59_1","SeuratProject",154,21,"pbs","AR019","P5"
"40#12#7_1","SeuratProject",816,29,"pbs","AR019","P5"
"40#25#80_1","SeuratProject",451,28,"pbs","AR019","P5"
"40#50#39_1","SeuratProject",148,25,"pbs","AR019","P5"
"40#6#87_1","SeuratProject",816,33,"pbs","AR019","P5"
"40#75#1_1","SeuratProject",869,33,"pbs","AR019","P5"
"40#92#13_1","SeuratProject",383,31,"pbs","AR019","P5"
"40#96#93_1","SeuratProject",135,17,"pbs","AR019","P5"
"41#10#68_1","SeuratProject",311,26,"pbs","AR019","P5"
"41#20#49_1","SeuratProject",90,12,"pbs","AR019","P5"
"41#20#8_1","SeuratProject",545,26,"pbs","AR019","P5"
"41#38#52_1","SeuratProject",436,25,"pbs","AR019","P5"
"41#4#43_1","SeuratProject",665,33,"pbs","AR019","P5"
"41#40#87_1","SeuratProject",512,27,"pbs","AR019","P5"
"41#47#74_1","SeuratProject",250,20,"pbs","AR019","P5"
"41#49#5_1","SeuratProject",833,32,"pbs","AR019","P5"
"41#53#25_1","SeuratProject",108,13,"pbs","AR019","P5"
"41#58#62_1","SeuratProject",1292,31,"pbs","AR019","P5"
"41#58#8_1","SeuratProject",137,21,"pbs","AR019","P5"
"41#62#22_1","SeuratProject",879,31,"pbs","AR019","P5"
"41#65#57_1","SeuratProject",794,28,"pbs","AR019","P5"
"41#75#11_1","SeuratProject",634,21,"pbs","AR019","P5"
"42#10#9_1","SeuratProject",446,30,"pbs","AR019","P5"
"42#3#3_1","SeuratProject",150,17,"pbs","AR019","P5"
"42#33#24_1","SeuratProject",505,28,"pbs","AR019","P5"
"42#47#60_1","SeuratProject",718,31,"pbs","AR019","P5"
"42#50#1_1","SeuratProject",97,18,"pbs","AR019","P5"
"42#50#4_1","SeuratProject",346,21,"pbs","AR019","P5"
"42#54#36_1","SeuratProject",374,31,"pbs","AR019","P5"
"43#10#28_1","SeuratProject",195,17,"pbs","AR019","P5"
"43#13#29_1","SeuratProject",214,23,"pbs","AR019","P5"
"43#23#70_1","SeuratProject",327,23,"pbs","AR019","P5"
"43#39#21_1","SeuratProject",1040,33,"pbs","AR019","P5"
"43#42#19_1","SeuratProject",242,23,"pbs","AR019","P5"
"43#68#55_1","SeuratProject",299,23,"pbs","AR019","P5"
"43#71#64_1","SeuratProject",729,32,"pbs","AR019","P5"
"43#81#12_1","SeuratProject",490,25,"pbs","AR019","P5"
"43#92#74_1","SeuratProject",65,15,"pbs","AR019","P5"
"44#16#32_1","SeuratProject",407,26,"pbs","AR019","P5"
"44#18#82_1","SeuratProject",81,16,"pbs","AR019","P5"
"44#22#80_1","SeuratProject",1215,29,"pbs","AR019","P5"
"44#25#37_1","SeuratProject",526,26,"pbs","AR019","P5"
"44#32#1_1","SeuratProject",672,27,"pbs","AR019","P5"
"44#67#22_1","SeuratProject",259,22,"pbs","AR019","P5"
"45#14#60_1","SeuratProject",478,27,"pbs","AR019","P5"
"45#17#26_1","SeuratProject",216,20,"pbs","AR019","P5"
"45#20#27_1","SeuratProject",891,28,"pbs","AR019","P5"
"45#28#56_1","SeuratProject",82,15,"pbs","AR019","P5"
"45#29#32_1","SeuratProject",192,20,"pbs","AR019","P5"
"45#48#17_1","SeuratProject",375,23,"pbs","AR019","P5"
"45#59#30_1","SeuratProject",866,27,"pbs","AR019","P5"
"45#74#3_1","SeuratProject",698,30,"pbs","AR019","P5"
"45#77#32_1","SeuratProject",166,23,"pbs","AR019","P5"
"45#78#1_1","SeuratProject",289,20,"pbs","AR019","P5"
"46#18#43_1","SeuratProject",402,26,"pbs","AR019","P5"
"46#21#17_1","SeuratProject",102,22,"pbs","AR019","P5"
"46#34#52_1","SeuratProject",1124,30,"pbs","AR019","P5"
"46#86#84_1","SeuratProject",122,18,"pbs","AR019","P5"
"47#21#16_1","SeuratProject",77,17,"pbs","AR019","P5"
"47#25#56_1","SeuratProject",137,18,"pbs","AR019","P5"
"47#42#47_1","SeuratProject",616,29,"pbs","AR019","P5"
"47#51#30_1","SeuratProject",391,29,"pbs","AR019","P5"
"47#58#22_1","SeuratProject",524,30,"pbs","AR019","P5"
"47#63#78_1","SeuratProject",112,21,"pbs","AR019","P5"
"48#30#10_1","SeuratProject",58,16,"pbs","AR019","P5"
"48#31#65_1","SeuratProject",592,29,"pbs","AR019","P5"
"48#4#27_1","SeuratProject",150,22,"pbs","AR019","P5"
"48#40#24_1","SeuratProject",412,22,"pbs","AR019","P5"
"48#8#9_1","SeuratProject",534,25,"pbs","AR019","P5"
"48#84#29_1","SeuratProject",307,20,"pbs","AR019","P5"
"49#27#36_1","SeuratProject",381,19,"pbs","AR019","P5"
"49#40#28_1","SeuratProject",225,23,"pbs","AR019","P5"
"49#48#86_1","SeuratProject",732,24,"pbs","AR019","P5"
"49#65#13_1","SeuratProject",133,20,"pbs","AR019","P5"
"49#87#26_1","SeuratProject",83,18,"pbs","AR019","P5"
"5#16#13_1","SeuratProject",386,23,"pbs","AR019","P5"
"5#2#9_1","SeuratProject",234,17,"pbs","AR019","P5"
"5#4#7_1","SeuratProject",1145,30,"pbs","AR019","P5"
"5#45#54_1","SeuratProject",287,22,"pbs","AR019","P5"
"5#49#74_1","SeuratProject",780,27,"pbs","AR019","P5"
"5#56#24_1","SeuratProject",151,19,"pbs","AR019","P5"
"5#69#24_1","SeuratProject",749,32,"pbs","AR019","P5"
"5#79#5_1","SeuratProject",305,24,"pbs","AR019","P5"
"50#15#13_1","SeuratProject",599,31,"pbs","AR019","P5"
"50#2#5_1","SeuratProject",129,24,"pbs","AR019","P5"
"50#21#43_1","SeuratProject",144,23,"pbs","AR019","P5"
"50#35#31_1","SeuratProject",66,18,"pbs","AR019","P5"
"50#36#45_1","SeuratProject",624,30,"pbs","AR019","P5"
"50#45#24_1","SeuratProject",1265,31,"pbs","AR019","P5"
"50#50#47_1","SeuratProject",880,27,"pbs","AR019","P5"
"50#54#52_1","SeuratProject",255,19,"pbs","AR019","P5"
"50#72#10_1","SeuratProject",891,32,"pbs","AR019","P5"
"50#8#61_1","SeuratProject",484,21,"pbs","AR019","P5"
"50#92#66_1","SeuratProject",3007,36,"pbs","AR019","P5"
"51#25#13_1","SeuratProject",1278,39,"pbs","AR019","P5"
"51#3#22_1","SeuratProject",172,14,"pbs","AR019","P5"
"51#6#64_1","SeuratProject",536,23,"pbs","AR019","P5"
"51#66#10_1","SeuratProject",1140,32,"pbs","AR019","P5"
"51#79#19_1","SeuratProject",171,23,"pbs","AR019","P5"
"51#85#71_1","SeuratProject",1165,32,"pbs","AR019","P5"
"52#10#12_1","SeuratProject",613,30,"pbs","AR019","P5"
"52#42#48_1","SeuratProject",100,18,"pbs","AR019","P5"
"52#44#6_1","SeuratProject",279,28,"pbs","AR019","P5"
"52#59#21_1","SeuratProject",107,21,"pbs","AR019","P5"
"52#65#48_1","SeuratProject",802,23,"pbs","AR019","P5"
"52#66#69_1","SeuratProject",116,14,"pbs","AR019","P5"
"52#75#68_1","SeuratProject",87,15,"pbs","AR019","P5"
"52#9#72_1","SeuratProject",707,23,"pbs","AR019","P5"
"52#90#72_1","SeuratProject",1070,29,"pbs","AR019","P5"
"52#95#34_1","SeuratProject",88,16,"pbs","AR019","P5"
"53#13#13_1","SeuratProject",871,31,"pbs","AR019","P5"
"53#20#14_1","SeuratProject",1564,31,"pbs","AR019","P5"
